Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1961","1961","ha","4118000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1962","1962","ha","4341000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1963","1963","ha","4339000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1964","1964","ha","4433000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1965","1965","ha","4290000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1966","1966","ha","4241000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1967","1967","ha","4589000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1968","1968","ha","4728000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1969","1969","ha","4387000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1970","1970","ha","4418000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1971","1971","ha","4796000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1972","1972","ha","4968000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1973","1973","ha","3975000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1974","1974","ha","4820000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1975","1975","ha","4792000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1976","1976","ha","4989000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1977","1977","ha","4706000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1978","1978","ha","4412000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1979","1979","ha","4566000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1980","1980","ha","4563000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1981","1981","ha","4488000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1982","1982","ha","4664000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1983","1983","ha","4680000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1984","1984","ha","4839000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1985","1985","ha","4502000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1986","1986","ha","4829000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1987","1987","ha","5063000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1988","1988","ha","4736000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1989","1989","ha","4394000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1990","1990","ha","4163000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1991","1991","ha","3816000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1992","1992","ha","4173000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1993","1993","ha","4377000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","56","Maize","1994","1994","ha","4661000","","Official data"
