Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1961","1961","ha","328000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1962","1962","ha","264000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1963","1963","ha","501000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1964","1964","ha","366000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1965","1965","ha","483000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1966","1966","ha","456000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1967","1967","ha","640000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1968","1968","ha","266000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1969","1969","ha","255000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1970","1970","ha","328000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1971","1971","ha","380000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1972","1972","ha","322000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1973","1973","ha","214000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1974","1974","ha","336000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1975","1975","ha","254000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1976","1976","ha","213000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1977","1977","ha","283000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1978","1978","ha","284000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1979","1979","ha","250000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1980","1980","ha","264000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1981","1981","ha","219000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1982","1982","ha","215000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1983","1983","ha","247000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1984","1984","ha","323000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1985","1985","ha","354000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1986","1986","ha","388000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1987","1987","ha","401000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1988","1988","ha","326000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1989","1989","ha","228000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1990","1990","ha","196000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1991","1991","ha","166000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1992","1992","ha","191000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1993","1993","ha","239000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1994","1994","ha","227000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1995","1995","ha","143000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1996","1996","ha","174120","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1997","1997","ha","161000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1998","1998","ha","131277","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","1999","1999","ha","98900","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2000","2000","ha","142200","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2001","2001","ha","88000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2002","2002","ha","75250","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2003","2003","ha","95497","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2004","2004","ha","130000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2005","2005","ha","86500","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2006","2006","ha","37150","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2007","2007","ha","69000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2008","2008","ha","86800","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2009","2009","ha","85500","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2010","2010","ha","86675","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2011","2011","ha","69200","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2012","2012","ha","48550","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2013","2013","ha","62620","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2014","2014","ha","78750","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2015","2015","ha","70500","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2016","2016","ha","48500","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","83","Sorghum","2017","2017","ha","42350","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1961","1961","tonnes","335022","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1962","1962","tonnes","181164","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1963","1963","tonnes","272000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1964","1964","tonnes","257000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1965","1965","tonnes","414000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1966","1966","tonnes","314000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1967","1967","tonnes","728000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1968","1968","tonnes","199000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1969","1969","tonnes","199000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1970","1970","tonnes","379000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1971","1971","tonnes","551000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1972","1972","tonnes","510000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1973","1973","tonnes","222000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1974","1974","tonnes","685000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1975","1975","tonnes","405000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1976","1976","tonnes","310000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1977","1977","tonnes","419000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1978","1978","tonnes","620000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1979","1979","tonnes","377000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1980","1980","tonnes","711000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1981","1981","tonnes","553000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1982","1982","tonnes","302000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1983","1983","tonnes","221000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1984","1984","tonnes","498000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1985","1985","tonnes","628000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1986","1986","tonnes","487000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1987","1987","tonnes","677000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1988","1988","tonnes","651000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1989","1989","tonnes","511000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1990","1990","tonnes","341000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1991","1991","tonnes","302000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1992","1992","tonnes","118000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1993","1993","tonnes","515368","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1994","1994","tonnes","520185","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1995","1995","tonnes","290557","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1996","1996","tonnes","535839","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1997","1997","tonnes","433371","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1998","1998","tonnes","358469","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","1999","1999","tonnes","223530","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2000","2000","tonnes","472763","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2001","2001","tonnes","206173","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2002","2002","tonnes","258000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2003","2003","tonnes","260000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2004","2004","tonnes","373000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2005","2005","tonnes","260000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2006","2006","tonnes","96000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2007","2007","tonnes","176000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2008","2008","tonnes","255000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2009","2009","tonnes","276500","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2010","2010","tonnes","196500","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2011","2011","tonnes","155000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2012","2012","tonnes","135000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2013","2013","tonnes","147200","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2014","2014","tonnes","265000","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2015","2015","tonnes","120500","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2016","2016","tonnes","70500","","Official data"
"QC","Crops","202","South Africa","5510","Production","83","Sorghum","2017","2017","tonnes","152000","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1961","1961","ha","67000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1962","1962","ha","68000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1963","1963","ha","69000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1964","1964","ha","70000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1965","1965","ha","70000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1966","1966","ha","72000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1967","1967","ha","73000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1968","1968","ha","73000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1969","1969","ha","75000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1970","1970","ha","75000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1971","1971","ha","77497","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1972","1972","ha","75000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1973","1973","ha","70000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1974","1974","ha","60000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1975","1975","ha","100000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1976","1976","ha","65000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1977","1977","ha","65000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1978","1978","ha","65000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1979","1979","ha","40000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1980","1980","ha","30000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1981","1981","ha","21500","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1982","1982","ha","21450","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1983","1983","ha","16570","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1984","1984","ha","21780","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1985","1985","ha","24811","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1986","1986","ha","59550","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1987","1987","ha","47484","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1988","1988","ha","47448","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1989","1989","ha","52008","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1990","1990","ha","48465","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1991","1991","ha","31790","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1992","1992","ha","40323","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1993","1993","ha","46563","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1994","1994","ha","55245","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1995","1995","ha","40365","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1996","1996","ha","47839","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1997","1997","ha","44684","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1998","1998","ha","35864","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","1999","1999","ha","36657","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2000","2000","ha","39281","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2001","2001","ha","21782","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2002","2002","ha","22000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2003","2003","ha","37000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2004","2004","ha","42203","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2005","2005","ha","21791","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2006","2006","ha","35000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2007","2007","ha","19427","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2008","2008","ha","33537","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2009","2009","ha","32212","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","83","Sorghum","2010","2010","ha","28908","","Official data"
