Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1961","1961","ha","1407000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1962","1962","ha","1375000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1963","1963","ha","1519000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1964","1964","ha","1319000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1965","1965","ha","1360000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1966","1966","ha","1134000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1967","1967","ha","1298000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1968","1968","ha","1670000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1969","1969","ha","1850000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1970","1970","ha","1930000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1971","1971","ha","2010000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1972","1972","ha","2017000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1973","1973","ha","2025000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1974","1974","ha","1865000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1975","1975","ha","1839000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1976","1976","ha","1959000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1977","1977","ha","1828000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1978","1978","ha","1895000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1979","1979","ha","1903000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1980","1980","ha","1627000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1981","1981","ha","1812000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1982","1982","ha","2013000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1983","1983","ha","1819000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1984","1984","ha","1942000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1985","1985","ha","1983000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1986","1986","ha","1946000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1987","1987","ha","1749000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1988","1988","ha","2009000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1989","1989","ha","1843000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1990","1990","ha","1563000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1991","1991","ha","1436000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1992","1992","ha","750000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1993","1993","ha","1075000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1994","1994","ha","1048000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1995","1995","ha","1363000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1996","1996","ha","1293800","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1997","1997","ha","1382000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1998","1998","ha","748000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","1999","1999","ha","718000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2000","2000","ha","934000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2001","2001","ha","974000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2002","2002","ha","941000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2003","2003","ha","748000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2004","2004","ha","830000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2005","2005","ha","805000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2006","2006","ha","765000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2007","2007","ha","632000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2008","2008","ha","748000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2009","2009","ha","642500","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2010","2010","ha","558100","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2011","2011","ha","604700","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2012","2012","ha","511000","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2013","2013","ha","505500","","Official data"
"QC","Crops","202","South Africa","5312","Area harvested","15","Wheat","2014","2014","ha","476570","","Official data"
