tenant,site_id,local,lat,long,site_group,Tair,Tabove,Tbelow,CGDD,b1r,b2r,b3r,b4r,b5r,b6r,b7r,NDVI,CropType,PlantingDate
planet,UNLEN_CSP1_IMZ1,2020-06-05 10:00:00-05:00,41.1659,-96.4802,Lincoln,27.4436,27.93,28.01,345,0.097957762,0.082182563,0.201266659,0.144732759,0.09456692,0.138810138,0.123002159,-0.020887919,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-06 10:00:00-05:00,41.1659,-96.4802,Lincoln,25.5375,17.43,24.31,363,0.052028782,0.076159543,0.091070667,0.100127838,0.224968599,0.281620118,0.23288201,0.475424366,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-07 10:00:00-05:00,41.1644,-96.4816,Lincoln,29.6176,9.184,27.02,381,0.049295886,0.073851827,0.086314547,0.099132379,0.237836735,0.331875937,0.258704312,0.539997836,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-08 10:00:00-05:00,41.1644,-96.4815,Lincoln,27.6509,8.577,25.93,393,0.048442505,0.072182671,0.084784001,0.095756103,0.245953023,0.348173709,0.265267943,0.568598005,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-09 10:00:00-05:00,41.1644,-96.4816,Lincoln,26.7277,18.71,26.57,402,0.045239567,0.067605166,0.080280956,0.089901631,0.243380101,0.333625566,0.258887133,0.575462301,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-10 10:00:00-05:00,41.1644,-96.4816,Lincoln,17.1107,-2.374,12.28,414,0.041637257,0.059222161,0.068452683,0.072028271,0.225693547,0.342177147,0.25829288,0.652209905,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-11 10:00:00-05:00,41.1644,-96.4816,Lincoln,24.6367,4.803,23.6,425,0.045031529,0.065455723,0.076470265,0.085015326,0.248029519,0.36322184,0.276293327,0.620668107,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-12 10:00:00-05:00,41.1644,-96.4815,Lincoln,26.0255,5.548,24.27,439,0.041910287,0.062290314,0.072611194,0.080794655,0.248892239,0.365958712,0.277124498,0.638303094,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-13 10:00:00-05:00,41.1644,-96.4815,Lincoln,25.4592,5.71,23.98,455,0.040645476,0.060420948,0.070591182,0.075677398,0.257699625,0.383462513,0.282917321,0.670351472,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-14 10:00:00-05:00,41.1644,-96.4815,Lincoln,26.8067,7.914,24.78,471,0.040060874,0.059274889,0.069513613,0.072626284,0.271380673,0.40417125,0.29373604,0.695357972,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-15 10:00:00-05:00,41.1644,-96.4816,Lincoln,27.2704,8.463,25.8,487,0.038060065,0.056000715,0.065424009,0.068582368,0.265770625,0.399175181,0.290419423,0.706761042,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-16 10:00:00-05:00,41.1644,-96.4815,Lincoln,27.7375,9.327,25.23,504,0.036729755,0.054401963,0.063417133,0.065131603,0.271043347,0.411848345,0.294694276,0.726900035,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-17 10:00:00-05:00,41.1644,-96.4816,Lincoln,26.7836,8.844,24.11,516,0.035072742,0.052014965,0.060853072,0.061344262,0.273146115,0.422125637,0.297774543,0.746233376,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-18 10:00:00-05:00,41.1644,-96.4815,Lincoln,25.8378,19.67,25.05,527,0.040165928,0.05643986,0.065978108,0.063991154,0.293832914,0.416806395,0.305236363,0.73381248,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-19 10:00:00-05:00,41.1644,-96.4815,Lincoln,19.3847,15.47,19.3,540,0.034331488,0.049731372,0.058541132,0.052603615,0.274018291,0.401542708,0.304120454,0.768340677,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-20 10:00:00-05:00,41.1644,-96.4815,Lincoln,22.3364,17.27,20.8,553,0.032051618,0.047649915,0.057440383,0.052076467,0.295218777,0.42263138,0.316004219,0.780595718,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-21 10:00:00-05:00,41.1644,-96.4815,Lincoln,23.0978,18.08,23.66,565,0.066316286,0.054174229,0.066702219,0.05979189,0.342853913,0.478985848,0.338377764,0.778046176,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-22 10:00:00-05:00,41.1644,-96.4816,Lincoln,23.3704,12.6,18.24,573,0.030683124,0.043417789,0.050279182,0.043514798,0.307631383,0.464844942,0.332176708,0.82880313,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-23 10:00:00-05:00,41.1644,-96.4815,Lincoln,21.3887,4.488,18.02,583,0.026881586,0.040217518,0.046498571,0.040074006,0.295094147,0.495325037,0.333995262,0.850302288,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-24 10:00:00-05:00,41.1644,-96.4815,Lincoln,23.3783,9.02,20.32,596,0.02676414,0.040557941,0.0468831,0.040290282,0.310022338,0.50454165,0.341246272,0.852100146,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-25 10:00:00-05:00,41.1644,-96.4815,Lincoln,25.3744,10.02,21.22,612,0.026338855,0.041081025,0.047868554,0.039928187,0.319958086,0.520760877,0.344664215,0.857574581,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-26 10:00:00-05:00,41.1644,-96.4816,Lincoln,27.6149,18.22,26.28,627,0.025945464,0.04090914,0.047725151,0.039845009,0.34453686,0.543454407,0.364369708,0.863380596,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-06-30 10:00:00-05:00,,,Lincoln,,,,695,,,,,,,,,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ1,2020-07-01 10:00:00-05:00,,,Lincoln,,,,,,,,,,,,,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-05 10:00:00-05:00,41.1654,-96.4823,Lincoln,27.4309,29.24,26.78,345,0.787632506,0.466528845,0.614580839,0.484223319,0.352591594,0.601564905,0.535090961,0.108070417,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-06 10:00:00-05:00,41.1644,-96.4807,Lincoln,24.9001,17.21,23.89,363,0.045609541,0.064935896,0.077684788,0.083244747,0.193139085,0.246679089,0.229953729,0.495369912,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-07 10:00:00-05:00,41.1644,-96.4807,Lincoln,29.8844,7.447,26.79,380,0.041800741,0.059084832,0.066221905,0.073171537,0.188491975,0.243137289,0.236858712,0.537341163,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-08 10:00:00-05:00,41.1644,-96.4807,Lincoln,27.625,8.424,26.38,393,0.040909333,0.058593379,0.065693765,0.071714037,0.196368642,0.25593682,0.245223988,0.562253323,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-09 10:00:00-05:00,41.1643,-96.4806,Lincoln,26.6139,17.85,26.58,402,0.039128676,0.0561532,0.063490026,0.068955466,0.199222615,0.258479877,0.245804291,0.578814763,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-10 10:00:00-05:00,41.1643,-96.4807,Lincoln,16.9403,-6.042,11.55,413,0.037458434,0.051148987,0.057409392,0.058656033,0.179921121,0.2509145,0.231641007,0.621048989,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-11 10:00:00-05:00,41.1643,-96.4807,Lincoln,24.7897,3.175,24.04,425,0.039248755,0.055200501,0.061237896,0.065876117,0.197835626,0.267648052,0.252321043,0.604969456,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-12 10:00:00-05:00,41.1644,-96.4806,Lincoln,25.8007,3.526,23.93,439,0.036833271,0.05263553,0.058706068,0.062474676,0.199461298,0.269206581,0.252469072,0.623284855,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-13 10:00:00-05:00,41.1643,-96.4807,Lincoln,26.1185,3.894,23.4,455,0.035389692,0.051418955,0.057096999,0.059268025,0.20725367,0.284713752,0.261338496,0.655400204,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-14 10:00:00-05:00,41.1644,-96.4807,Lincoln,26.7518,6.286,24.43,471,0.035804568,0.051351097,0.057401343,0.058921469,0.21920795,0.302876415,0.27154997,0.674285164,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-15 10:00:00-05:00,41.1644,-96.4806,Lincoln,27.6421,6.473,25.56,487,0.034070779,0.048837703,0.054339558,0.055135997,0.218238985,0.302585431,0.272321703,0.691737801,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-16 10:00:00-05:00,41.1643,-96.4807,Lincoln,27.3275,7.72,24.88,504,0.032483338,0.04783871,0.053181147,0.053313313,0.221897646,0.310089733,0.276573949,0.706588519,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-17 10:00:00-05:00,41.1644,-96.4806,Lincoln,26.5937,7.377,23.91,517,0.031826751,0.046066919,0.051559039,0.050117725,0.223454637,0.31707552,0.280532606,0.727022618,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-18 10:00:00-05:00,41.1644,-96.4806,Lincoln,26.1242,19.71,24.55,527,0.035876221,0.051481293,0.058760961,0.055835558,0.250677478,0.351676776,0.295238585,0.725968747,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-19 10:00:00-05:00,41.1644,-96.4806,Lincoln,19.4725,9.414,18.81,540,0.029659447,0.045374355,0.054594509,0.048920087,0.244514425,0.354104828,0.293376428,0.75723542,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-20 10:00:00-05:00,41.1644,-96.4807,Lincoln,21.8385,16.83,20.32,553,0.028211878,0.043150363,0.050349099,0.044893268,0.257770692,0.368092352,0.303669457,0.782591616,Corn,04/20/2020
planet,UNLEN_CSP1_IMZ2,2020-06-21 10:00:00-05:00,41.1644,-96.4807,Lincoln,23.2848,19.83,23.34,565,0.064133844,0.054907287,0.063436831,0.057188659,0.299472504,0.449431623,0.331790063,0.774234625,Corn,04/20/2020
