"","date","ndvi"
"1","2020-09-02",NA
"2","2020-09-03",NA
"3","2020-09-04",NA
"4","2020-09-05",NA
"5","2020-09-06",NA
"6","2020-09-07",NA
"7","2020-09-08",NA
"8","2020-09-09",NA
"9","2020-09-10",NA
"10","2020-09-11",NA
"11","2020-09-12",NA
"12","2020-09-13",NA
"13","2020-09-14",NA
"14","2020-09-15",NA
"15","2020-09-16",NA
"16","2020-09-17",NA
"17","2020-09-18",NA
"18","2020-09-19",NA
"19","2020-09-20",NA
"20","2020-09-21",NA
"21","2020-09-22",NA
"22","2020-09-23",NA
"23","2020-09-24",NA
"24","2020-09-25",NA
"25","2020-09-26",NA
"26","2020-09-27",NA
"27","2020-09-28",NA
"28","2020-09-29",NA
"29","2020-09-30",NA
"30","2020-10-01",NA
"31","2020-10-02",NA
"32","2020-10-03",NA
"33","2020-10-04",NA
"34","2020-10-05",NA
"35","2020-10-06",NA
"36","2020-10-07",NA
"37","2020-10-08",NA
"38","2020-10-09",NA
"39","2020-10-10",NA
"40","2020-10-11",NA
"41","2020-10-12",NA
"42","2020-10-13",NA
"43","2020-10-14",NA
"44","2020-10-15",NA
"45","2020-10-16",NA
"46","2020-10-17",NA
"47","2020-10-18",NA
"48","2020-10-19",NA
"49","2020-10-20",NA
"50","2020-10-21",NA
"51","2020-10-22",NA
"52","2020-10-23",NA
"53","2020-10-24",NA
"54","2020-10-25",NA
"55","2020-10-26",NA
"56","2020-10-27",NA
"57","2020-10-28",NA
"58","2020-10-29",NA
"59","2020-10-30",NA
"60","2020-10-31",NA
"61","2020-11-01",NA
"62","2020-11-02",NA
"63","2020-11-03",NA
"64","2020-11-04",NA
"65","2020-11-05",NA
"66","2020-11-06",NA
"67","2020-11-07",NA
"68","2020-11-08",NA
"69","2020-11-09",NA
"70","2020-11-10",NA
"71","2020-11-11",NA
"72","2020-11-12",NA
"73","2020-11-13",NA
"74","2020-11-14",NA
"75","2020-11-15",NA
"76","2020-11-16",NA
"77","2020-11-17",NA
"78","2020-11-18",NA
"79","2020-11-19",NA
"80","2020-11-20",NA
"81","2020-11-21",NA
"82","2020-11-22",0.46637818820072
"83","2020-11-23",0.491908085415621
"84","2020-11-24",0.511442875811951
"85","2020-11-25",0.543891576653733
"86","2020-11-26",0.553675935270794
"87","2020-11-27",0.586331563842865
"88","2020-11-28",0.606014681186769
"89","2020-11-29",0.624450138680242
"90","2020-11-30",0.633748124613891
"91","2020-12-01",0.653909318013529
"92","2020-12-02",0.671618090516873
"93","2020-12-03",0.674562177493908
"94","2020-12-04",0.686288580200503
"95","2020-12-05",0.389502111668671
"96","2020-12-06",NA
"97","2020-12-07",0.532525058422154
"98","2020-12-08",0.501184463415724
"99","2020-12-09",NA
"100","2020-12-10",NA
"101","2020-12-11",NA
"102","2020-12-12",NA
"103","2020-12-13",NA
"104","2020-12-14",NA
"105","2020-12-15",NA
"106","2020-12-16",NA
"107","2020-12-17",0.530971055479737
"108","2020-12-18",0.521729640832381
"109","2020-12-19",0.534617279036201
"110","2020-12-20",0.537181938241475
"111","2020-12-21",NA
"112","2020-12-22",NA
"113","2020-12-23",NA
"114","2020-12-24",NA
"115","2020-12-25",NA
"116","2020-12-26",NA
"117","2020-12-27",NA
"118","2020-12-28",NA
"119","2020-12-29",NA
"120","2020-12-30",NA
"121","2020-12-31",0.463751181655346
"122","2021-01-01",0.50315697389506
"123","2021-01-02",0.539910250551254
"124","2021-01-03",0.541561834646025
"125","2021-01-04",0.554811540628389
"126","2021-01-05",0.569427427888201
"127","2021-01-06",0.578113346395845
"128","2021-01-07",0.471514574599063
"129","2021-01-08",0.457337959194405
"130","2021-01-09",0.473429897945548
"131","2021-01-10",0.482226178014252
"132","2021-01-11",0.498046059515023
"133","2021-01-12",0.522111035060282
"134","2021-01-13",0.544218662426194
"135","2021-01-14",0.56039685340783
"136","2021-01-15",0.579250932307261
"137","2021-01-16",0.590836089351854
"138","2021-01-17",0.589568989829665
"139","2021-01-18",0.626633088441784
"140","2021-01-19",0.617319809719023
"141","2021-01-20",0.653221332040431
"142","2021-01-21",0.670441553151137
"143","2021-01-22",0.692481629735759
"144","2021-01-23",0.702145796108388
"145","2021-01-24",0.716896560498369
"146","2021-01-25",0.727804907529414
"147","2021-01-26",0.736552243837805
"148","2021-01-27",0.744376263311422
"149","2021-01-28",0.753541247326168
"150","2021-01-29",0.765873887712232
"151","2021-01-30",0.7752056464157
"152","2021-01-31",0.781169026629837
"153","2021-02-01",0.779847676508548
"154","2021-02-02",0.785016117336452
