uuid,x,y,date,season,rained,planted
009a8424,27.256,-16.926,2015-11-15,1,0,0
00df166f,26.942,-16.504,2015-11-15,1,0,0
02671a00,27.254,-16.914,2015-11-15,1,0,0
03f4dcca,27.237,-16.733,2015-11-15,1,0,0
042cf7b3,27.138,-16.807,2015-11-15,1,0,0
05618404,26.875,-16.611,2015-11-15,1,0,0
064beba0,26.752,-16.862,2015-11-15,1,1,0
083a46a2,26.977,-16.765,2015-11-15,1,0,0
08eb2224,26.912,-16.248,2015-11-15,1,0,0
0ab761d6,27.113,-16.95,2015-11-15,1,0,0
0bd19b6a,26.772,-16.86,2015-11-15,1,0,0
0c0c6ed8,26.794,-16.843,2015-11-15,1,0,0
0c18f625,26.862,-16.674,2015-11-15,1,0,0
0cbc4225,26.859,-16.176,2015-11-15,1,0,0
0eb65faa,27.056,-16.935,2015-11-15,1,0,0
0ed7bf8d,27.294,-16.746,2015-11-15,1,0,0
12d7333e,27.237,-16.733,2015-11-15,1,0,0
130455fd,26.885,-16.589,2015-11-15,1,1,0
146fd88d,27.237,-16.922,2015-11-15,1,0,0
14e2047a,27.306,-16.742,2015-11-15,1,1,0
14eb1bc1,26.913,-16.251,2015-11-15,1,0,0
14f4d804,27.336,-16.834,2015-11-15,1,0,0
16d25908,26.78,-16.851,2015-11-15,1,0,0
186977a2,26.862,-16.674,2015-11-15,1,0,0
19c2befd,26.933,-17.041,2015-11-15,1,0,0
1a3ed58f,27.276,-16.878,2015-11-15,1,0,0
1a4008c2,26.859,-16.178,2015-11-15,1,0,0
1ae8ccff,27.094,-16.813,2015-11-15,1,0,0
1c7690e0,27.261,-16.921,2015-11-15,1,0,0
1cba393a,26.93,-16.508,2015-11-15,1,0,0
261e38c9,26.974,-16.748,2015-11-15,1,0,0
26b02eaa,27.114,-16.79,2015-11-15,1,1,1
26ccd1ca,27.279,-16.926,2015-11-15,1,0,0
26d99644,26.917,-16.532,2015-11-15,1,0,0
28706e65,26.969,-16.723,2015-11-15,1,0,0
28c79d87,26.857,-16.191,2015-11-15,1,0,0
2abd46c3,27.294,-16.744,2015-11-15,1,0,0
2b60914d,27.275,-16.884,2015-11-15,1,0,0
2cf13d38,27.05,-17.003,2015-11-15,1,0,0
2d70af82,26.863,-16.59,2015-11-15,1,0,0
30c2e51a,27.313,-16.779,2015-11-15,1,0,1
